cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only
200307,FR,6,2008,43.004,-125.3083,43.002,-125.3031,2003-07-09T01:58:00-08,2003-07-09T02:28:00-08,13.4,bucket,3.6,172510,"Icichthys lockingtoni",2,0.1,NA,N
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,2003-07-09T20:45:00-08,2003-07-09T21:15:00-08,17.3,bucket,3.5,160424,"Prionace glauca",1,50,NA,N
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,2003-07-09T20:45:00-08,2003-07-09T21:15:00-08,17.3,bucket,3.5,161828,"Engraulis mordax",NA,0.4,NA,N
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,2003-07-09T20:45:00-08,2003-07-09T21:15:00-08,17.3,bucket,3.5,172419,"Thunnus alalunga",2,9.1,NA,N
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,2003-07-09T20:45:00-08,2003-07-09T21:15:00-08,17.3,bucket,3.5,202423,Animalia,NA,1.06,NA,N
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,2003-07-09T22:41:00-08,2003-07-09T23:11:00-08,15.3,bucket,3.5,82367,Teuthida,NA,3.4,NA,N
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,2003-07-09T22:41:00-08,2003-07-09T23:11:00-08,15.3,bucket,3.5,162575,Myctophidae,NA,10.2,NA,N
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,2003-07-09T22:41:00-08,2003-07-09T23:11:00-08,15.3,bucket,3.5,168586,"Trachurus symmetricus",15,29.5,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,160424,"Prionace glauca",2,100,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,161729,"Sardinops sagax",51,9.527,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,164792,"Merluccius productus",NA,72,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,168586,"Trachurus symmetricus",NA,18,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,172412,"Scomber japonicus",25,5,NA,N
200307,FR,9,2011,43.983,-125.0215,44.0095,-124.9588,2003-07-09T23:36:00-08,2003-07-10T00:06:00-08,13.8,bucket,3.5,551209,"Clupea pallasii",1,0.08,NA,N
200307,FR,10,2012,44.0065,-124.9448,43.9998,-124.8973,2003-07-10T00:35:00-08,2003-07-10T01:05:00-08,13.6,bucket,3.5,161729,"Sardinops sagax",1,0.159,NA,N
200307,FR,10,2012,44.0065,-124.9448,43.9998,-124.8973,2003-07-10T00:35:00-08,2003-07-10T01:05:00-08,13.6,bucket,3.5,164792,"Merluccius productus",NA,454.5,NA,N
200307,FR,10,2012,44.0065,-124.9448,43.9998,-124.8973,2003-07-10T00:35:00-08,2003-07-10T01:05:00-08,13.6,bucket,3.5,168586,"Trachurus symmetricus",NA,90.9,NA,N
200307,FR,10,2012,44.0065,-124.9448,43.9998,-124.8973,2003-07-10T00:35:00-08,2003-07-10T01:05:00-08,13.6,bucket,3.5,551209,"Clupea pallasii",2,0.1,NA,N
200307,FR,11,2013,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T00:52:00-08,2003-07-12T01:22:00-08,16.9,bucket,3.5,161729,"Sardinops sagax",50,9.745,217.527,N
200307,FR,11,2013,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T00:52:00-08,2003-07-12T01:22:00-08,16.9,bucket,3.5,161974,Oncorhynchus,10,10,NA,N
200307,FR,11,2013,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T00:52:00-08,2003-07-12T01:22:00-08,16.9,bucket,3.5,164792,"Merluccius productus",NA,318.2,NA,N
200307,FR,12,2014,45.9983,-124.3483,46.0021,-124.3966,2003-07-12T02:24:00-08,2003-07-12T02:54:00-08,16.5,bucket,3.5,161702,"Alosa sapidissima",1,0.2,NA,N
200307,FR,12,2014,45.9983,-124.3483,46.0021,-124.3966,2003-07-12T02:24:00-08,2003-07-12T02:54:00-08,16.5,bucket,3.5,161729,"Sardinops sagax",50,10.241,37.486,N
200307,FR,12,2014,45.9983,-124.3483,46.0021,-124.3966,2003-07-12T02:24:00-08,2003-07-12T02:54:00-08,16.5,bucket,3.5,161974,Oncorhynchus,10,10,NA,N
200307,FR,12,2014,45.9983,-124.3483,46.0021,-124.3966,2003-07-12T02:24:00-08,2003-07-12T02:54:00-08,16.5,bucket,3.5,164792,"Merluccius productus",NA,675,NA,N
200307,FR,12,2014,45.9983,-124.3483,46.0021,-124.3966,2003-07-12T02:24:00-08,2003-07-12T02:54:00-08,16.5,bucket,3.5,168586,"Trachurus symmetricus",20,15,NA,N
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,2003-07-12T04:09:00-08,2003-07-12T04:24:00-08,16.2,bucket,3.5,161828,"Engraulis mordax",5,0.05,NA,N
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,2003-07-12T04:09:00-08,2003-07-12T04:24:00-08,16.2,bucket,3.5,161974,Oncorhynchus,2,1,NA,N
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,2003-07-12T04:09:00-08,2003-07-12T04:24:00-08,16.2,bucket,3.5,168586,"Trachurus symmetricus",2,1.5,NA,N
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,2003-07-12T04:09:00-08,2003-07-12T04:24:00-08,16.2,bucket,3.5,202423,Animalia,NA,9.1,NA,N
200307,FR,15,2017,47.0003,-125.1691,47.0013,-125.123,2003-07-13T21:34:00-08,2003-07-13T22:04:00-08,16.4,bucket,3.5,51483,Scyphozoa,NA,5.2,NA,N
200307,FR,15,2017,47.0003,-125.1691,47.0013,-125.123,2003-07-13T21:34:00-08,2003-07-13T22:04:00-08,16.4,bucket,3.5,162575,Myctophidae,NA,5.2,NA,N
200307,FR,16,2018,47.0001,-125.091,47.0015,-125.0441,2003-07-13T22:34:00-08,2003-07-13T23:04:00-08,15.4,bucket,3.1,162575,Myctophidae,NA,5.6,NA,N
200307,FR,16,2018,47.0001,-125.091,47.0015,-125.0441,2003-07-13T22:34:00-08,2003-07-13T23:04:00-08,15.4,bucket,3.1,202423,Animalia,NA,2.4,NA,N
200307,FR,17,2019,47.0001,-124.988,47.0001,-124.9353,2003-07-13T23:38:00-08,2003-07-14T00:08:00-08,16.1,bucket,3.2,159910,"Lamna ditropis",1,55,NA,N
200307,FR,17,2019,47.0001,-124.988,47.0001,-124.9353,2003-07-13T23:38:00-08,2003-07-14T00:08:00-08,16.1,bucket,3.2,160424,"Prionace glauca",1,34,NA,N
200307,FR,17,2019,47.0001,-124.988,47.0001,-124.9353,2003-07-13T23:38:00-08,2003-07-14T00:08:00-08,16.1,bucket,3.2,914154,Bilateria,NA,6.4,NA,N
200307,FR,18,2020,47.0005,-124.8333,47,-124.78,2003-07-14T00:52:00-08,2003-07-14T01:22:00-08,16.3,bucket,3.4,168586,"Trachurus symmetricus",10,14,NA,N
200307,FR,18,2020,47.0005,-124.8333,47,-124.78,2003-07-14T00:52:00-08,2003-07-14T01:22:00-08,16.3,bucket,3.4,551209,"Clupea pallasii",NA,181,NA,N
200307,FR,19,2021,46.9995,-124.736,47.0005,-124.6765,2003-07-14T01:54:00-08,2003-07-14T02:24:00-08,16.3,bucket,3.4,51483,Scyphozoa,NA,22.7,NA,N
200307,FR,19,2021,46.9995,-124.736,47.0005,-124.6765,2003-07-14T01:54:00-08,2003-07-14T02:24:00-08,16.3,bucket,3.4,164792,"Merluccius productus",NA,22.7,NA,N
200307,FR,19,2021,46.9995,-124.736,47.0005,-124.6765,2003-07-14T01:54:00-08,2003-07-14T02:24:00-08,16.3,bucket,3.4,168586,"Trachurus symmetricus",10,14,NA,N
200307,FR,19,2021,46.9995,-124.736,47.0005,-124.6765,2003-07-14T01:54:00-08,2003-07-14T02:24:00-08,16.3,bucket,3.4,551209,"Clupea pallasii",NA,68.2,NA,N
200307,FR,20,2022,46.995,-124.6356,46.9985,-124.5803,2003-07-14T02:51:00-08,2003-07-14T03:21:00-08,15.3,bucket,3.4,159786,Elasmobranchii,2,70,NA,N
200307,FR,20,2022,46.995,-124.6356,46.9985,-124.5803,2003-07-14T02:51:00-08,2003-07-14T03:21:00-08,15.3,bucket,3.4,161729,"Sardinops sagax",22,3.984,NA,N
200307,FR,20,2022,46.995,-124.6356,46.9985,-124.5803,2003-07-14T02:51:00-08,2003-07-14T03:21:00-08,15.3,bucket,3.4,161828,"Engraulis mordax",NA,109,NA,N
200307,FR,20,2022,46.995,-124.6356,46.9985,-124.5803,2003-07-14T02:51:00-08,2003-07-14T03:21:00-08,15.3,bucket,3.4,164792,"Merluccius productus",NA,109,NA,N
200307,FR,20,2022,46.995,-124.6356,46.9985,-124.5803,2003-07-14T02:51:00-08,2003-07-14T03:21:00-08,15.3,bucket,3.4,551209,"Clupea pallasii",NA,54.4,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,160181,"Galeorhinus galeus",1,55,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,161729,"Sardinops sagax",22,4.55,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,161974,Oncorhynchus,2,2,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,168586,"Trachurus symmetricus",10,4.5,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,172921,"Parophrys vetulus",1,0.1,NA,N
200307,FR,21,2023,48.0003,-124.9006,48.0001,-124.9493,2003-07-14T20:28:00-08,2003-07-14T20:58:00-08,15.6,bucket,3.6,551209,"Clupea pallasii",NA,45,NA,N
