cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time.utc,nearest_key,nearest_tim,minTempDist_d,nearest_haul_loc,minSptlDist_km,combined_score
200704,LB,242,2280,33.6883,-118.0683,33.6883,-118.0683,2007-04-10T04:45:00Z,121,2007-04-20T03:30:00Z,9.94791666666667,"c(-117.791249035255, 33.0401010365561)",76.7765119537182,119009396.226492
200704,LB,243,2281,33.685,-118.06,33.69,-118.06,2007-04-17T07:19:00Z,121,2007-04-20T03:30:00Z,2.84097222222222,"c(-117.791249035255, 33.0401010365561)",76.4394746150466,119009396.226492
200704,LB,244,2282,33.715,-118.0983,33.715,-118.0983,2007-04-17T05:40:00Z,121,2007-04-20T03:30:00Z,2.90972222222222,"c(-117.791249035255, 33.0401010365561)",80.5280977576307,119009396.226492
200704,LB,245,2283,33.5983,-118.1816,33.5983,-118.1816,2007-04-23T08:45:00Z,128,2007-04-22T06:05:00Z,1.11111111111111,"c(-120.144548586511, 33.3599505420552)",183.133798491515,118997866.955599
200704,LB,246,2284,33.6183,-118.2116,33.6183,-118.2116,2007-04-24T06:55:00Z,128,2007-04-22T06:05:00Z,2.03472222222222,"c(-120.144548586511, 33.3599505420552)",180.71531153776,118997866.955599
200704,LB,247,2285,33.6316,-118.2016,33.6316,-118.2016,2007-04-25T07:43:00Z,128,2007-04-22T06:05:00Z,3.06805555555556,"c(-120.144548586511, 33.3599505420552)",181.853352159969,118997866.955599
201207,SH,40,2901,42.4383,-124.9848,42.4755,-124.9858,2012-07-22T10:48:00Z,316,2012-07-22T08:10:00Z,0.109722222222222,"c(-124.931649316392, 42.5491998066039)",11.2102133726577,99251352.501762
